Symbol,Name Arabic,Current Price (EGP),Change %,Fair Value (EGP),Fair Value Upside %,Signal,RSI (14),SMA20,SMA50,Support (EGP),Resistance (EGP),Entry Zone Min (EGP),Entry Zone Max (EGP),Target 1 (EGP),Target 2 - Fair Value (EGP),Stop Loss (EGP),Sharia Status,Last Update Time
EPCO,"المصرية للدواجن",10.5,-2.6,10.66,1.52,NEUTRAL,57.4,10.1,9.5,6.87,13.19,10.26,10.74,11.46,11.94,9.78,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ETRS,"المصرية لخدمات النقل",10.68,0.28,10.82,1.31,NEUTRAL,53.97,10.82,9.86,6.92,13.11,10.5,10.86,11.38,11.73,10.15,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
PRDC,"بايونيرز بروبرتيز للتنمية العمرانية",9.15,-3.28,9.25,1.09,NEUTRAL,56.47,8.99,7.45,4.66,12.02,8.88,9.42,10.21,10.74,8.36,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ENGC,"الصناعات الهندسية المعمارية للانشاء و التعمير",41.27,-3.66,41.72,1.09,NEUTRAL,55.5,40.95,37.25,27.69,49.87,40.42,42.12,44.67,46.37,38.72,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
CLHO,"شركة مستشفى كليوباترا",16.6,-1.48,16.78,1.08,NEUTRAL,53.45,16.55,16.09,10.44,20.33,16.32,16.88,17.72,18.28,15.76,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
GTWL,"جولدن تكس للاصواف",101.3,-0.79,102.19,0.88,NEUTRAL,62.02,101.68,72.34,50.4,135.54,97.48,105.12,116.58,124.22,89.84,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ARCC,"العربية للأسمنت",56.1,-0.99,56.47,0.66,NEUTRAL,50.33,55.98,56.12,40.61,66,55.46,56.74,58.66,59.94,54.18,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MISR,"مصر انتركونتننتال لصناعة الجرانيت والرخام",5.51,0,5.54,0.54,NEUTRAL,48.33,5.61,5.41,5.3998,5.69,5.45,5.57,5.75,5.87,5.33,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ARAB,"المطورون العرب القابضة",0.24,-2.06,0.24,0,NEUTRAL,53.68,0.24,0.22,0.16,0.29,0.23,0.24,0.26,0.27,0.22,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
GMCI,"مجموعة جى إم سى للاستثمارات الصناعية والتجارية والمالية",1.98,-2.46,1.98,0,NEUTRAL,51.32,2.03,1.85,1.35,2.43,1.93,2.03,2.18,2.28,1.83,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
SPMD,"شركة سبيد ميديكال",0.45,-1.53,0.45,0,NEUTRAL,55.21,0.45,0.43,0.34,0.52,0.45,0.46,0.47,0.48,0.43,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
GTEX,"جيتكس للاستثمارات التجارية والصناعية",0.04,-2.7,0.04,0,NEUTRAL,54.63,0.04,0.03,0.03,0.0408,0.04,0.04,0.04,0.04,0.04,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MCQE,"مصر للأسمنت - قنا",182.43,-0.32,182.43,0,NEUTRAL,50.57,181.01,182.94,99.13,235.6,179.93,184.93,192.43,197.43,174.93,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
GOUR,"جورميه ايجيبت دوت كوم للأغذية",14.2,-2,14.18,-0.14,NEUTRAL,54.55,14.21,13.36,8.93,17.43,13.92,14.47,15.3,15.85,13.38,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
PRCL,"العامة لمنتجات الخزف والصيني",34.5,-3.63,34.42,-0.23,NEUTRAL,54.04,35.51,29.47,16.94,45.16,33.7,35.3,37.68,39.27,32.12,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
NEDA,"شمال الصعيد للتنمية والانتاج الزراعى",2.74,0.74,2.72,-0.73,NEUTRAL,43.2,2.81,2.78,2.16,3.28,2.7,2.78,2.9,2.98,2.62,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
RACC,"راية لخدمات مراكز الاتصالات",9.99,-1.28,9.88,-1.1,NEUTRAL,48.33,10.13,9.96,7.29,12.42,9.86,10.12,10.51,10.77,9.6,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
RUBX,"روبكس العالميه لتصنيع البلاستيك والاكريلك",12.44,-2.81,12.27,-1.37,NEUTRAL,47.67,13.27,11.59,8.75,15.49,12.12,12.76,13.72,14.36,11.48,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MBSC,"مصر بنى سويف للأسمنت",243.89,-0.85,240.12,-1.55,NEUTRAL,46.08,243.24,255.45,157.93,315.92,241.16,246.61,254.79,260.24,235.71,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
ALUM,"الالومنيوم العربية",22.82,-1.55,22.41,-1.8,NEUTRAL,47.09,23,23.41,15.07,28.51,22.47,23.17,24.22,24.92,21.77,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
LUTS,"لوتس للتنمية والاستثمار الزراعي",0.54,-3.89,0.53,-1.85,NEUTRAL,41.13,0.58,0.54,0.4,0.65,0.53,0.55,0.58,0.6,0.51,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
COSG,"القاهرة للزيوت والصابون",1.61,-3.59,1.58,-1.86,NEUTRAL,45.34,1.65,1.6,1.28,1.9,1.59,1.64,1.71,1.76,1.54,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
AREH,"المجموعة المصرية العقاري",1.4,-2.78,1.37,-2.14,NEUTRAL,38.29,1.53,1.48,0.93,1.81,1.36,1.43,1.54,1.61,1.29,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
SVCE,"جنوب الوادي للاسمنت",9.13,-1.3,8.93,-2.19,NEUTRAL,46.78,9.38,9.2,5.85,11.28,8.99,9.28,9.71,10,8.7,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
EFID,"ايديتا للصناعات الغذائية",27.24,0.52,26.51,-2.68,NEUTRAL,43,27.89,28.02,17.47,34.76,26.93,27.55,28.48,29.1,26.31,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
POUL,"القاهرة للدواجن",37.73,-0.19,36.71,-2.7,NEUTRAL,45.29,38.9,37.74,23.07,46.93,37.15,38.31,40.05,41.21,35.99,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
MTIE,"ام.ام جروب للصناعة والتجارة العالمية",9.4,-1.67,9.12,-2.98,NEUTRAL,52.35,9.44,9.21,6.81,11.18,9.28,9.52,9.88,10.12,9.04,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
